"a_index","b_date","c_price"
"BMV","2011-07-25",0.880970724191
"BMV","2011-07-26",0.864021571649
"BMV","2011-07-27",0.873266563945
"BMV","2011-07-28",0.888289676425
"BMV","2011-07-29",0.890215716487
"BMV","2011-08-01",0.884822804314
"BMV","2011-08-02",0.850154083205
"BMV","2011-08-03",0.823189522342
"BMV","2011-08-04",0.796224961479
"BMV","2011-08-05",0.784283513097
"BMV","2011-08-08",0.723420647149
"BMV","2011-08-09",0.753081664099
"BMV","2011-08-10",0.754622496148
"BMV","2011-08-11",0.776579352851
"BMV","2011-08-12",0.782357473035
"BMV","2011-08-15",0.793528505393
"BMV","2011-08-16",0.800462249615
"BMV","2011-08-17",0.803543913713
"BMV","2011-08-18",0.774653312789
"BMV","2011-08-19",0.75500770416
"BMV","2011-08-22",0.755392912173
"BMV","2011-08-23",0.76155624037
"BMV","2011-08-24",0.750770416025
"BMV","2011-08-25",0.741140215716
"BMV","2011-08-26",0.750770416025
"BMV","2011-08-29",0.758474576271
"BMV","2011-08-30",0.781587057011
"BMV","2011-08-31",0.790832049307
"BMV","2011-09-01",0.771186440678
"BMV","2011-09-02",0.754237288136
"BMV","2011-09-05",0.734206471495
"BMV","2011-09-06",0.756933744222
"BMV","2011-09-07",0.787365177196
"BMV","2011-09-08",0.798536209553
"BMV","2011-09-09",0.779661016949
"BMV","2011-09-12",0.775038520801
"BMV","2011-09-13",0.766949152542
"BMV","2011-09-14",0.783898305085
"BMV","2011-09-15",0.786594761171
"BMV","2011-09-16",0.786594761171
"BMV","2011-09-19",0.777734976888
"BMV","2011-09-20",0.76155624037
"BMV","2011-09-21",0.746147919877
"BMV","2011-09-22",0.67873651772
"BMV","2011-09-23",0.687211093991
"BMV","2011-09-26",0.722650231125
"BMV","2011-09-27",0.753081664099
"BMV","2011-09-28",0.73998459168
"BMV","2011-09-29",0.755778120185
"BMV","2011-09-30",0.737673343606
"BMV","2011-10-03",0.743066255778
"BMV","2011-10-04",0.734976887519
"BMV","2011-10-05",0.73343605547
"BMV","2011-10-06",0.752696456086
"BMV","2011-10-07",0.7781201849
"BMV","2011-10-10",0.809322033898
"BMV","2011-10-11",0.825500770416
"BMV","2011-10-12",0.838212634823
"BMV","2011-10-13",0.825500770416
"BMV","2011-10-14",0.831664098613
"BMV","2011-10-17",0.82781201849
"BMV","2011-10-18",0.839753466872
"BMV","2011-10-19",0.828197226502
"BMV","2011-10-20",0.825885978428
"BMV","2011-10-21",0.832049306626
"BMV","2011-10-24",0.808936825886
"BMV","2011-10-25",0.832049306626
"BMV","2011-10-26",0.84437596302
"BMV","2011-10-27",0.856317411402
"BMV","2011-10-28",0.848613251156
"BMV","2011-10-31",0.83936825886
"BMV","2011-11-01",0.831278890601
"BMV","2011-11-02",0.831278890601
"BMV","2011-11-03",0.854776579353
"BMV","2011-11-04",0.852080123267
"BMV","2011-11-07",0.847842835131
"BMV","2011-11-08",0.84938366718
"BMV","2011-11-09",0.832049306626
"BMV","2011-11-10",0.826271186441
"BMV","2011-11-11",0.854776579353
"BMV","2011-11-14",0.866332819723
"BMV","2011-11-15",0.88405238829
"BMV","2011-11-16",0.897919876733
"BMV","2011-11-17",0.889830508475
"BMV","2011-11-18",0.885978428351
"BMV","2011-11-21",0.885978428351
"BMV","2011-11-22",0.88405238829
"BMV","2011-11-23",0.88405238829
"BMV","2011-11-24",0.868644067797
"BMV","2011-11-25",0.859399075501
"BMV","2011-11-28",0.864791987673
"BMV","2011-11-29",0.863251155624
"BMV","2011-11-30",0.887904468413
"BMV","2011-12-01",0.897149460709
"BMV","2011-12-02",0.89907550077
"BMV","2011-12-05",0.899845916795
"BMV","2011-12-06",0.916795069337
"BMV","2011-12-07",0.924884437596
"BMV","2011-12-08",0.918335901387
"BMV","2011-12-09",0.91063174114
"BMV","2011-12-12",0.91063174114
"BMV","2011-12-13",0.895223420647
"BMV","2011-12-14",0.886363636364
"BMV","2011-12-15",0.882126348228
"BMV","2011-12-16",0.895993836672
"BMV","2011-12-19",0.88251155624
"BMV","2011-12-20",0.902927580894
"BMV","2011-12-21",0.897534668721
"BMV","2011-12-22",0.882896764253
"BMV","2011-12-23",0.897534668721
"BMV","2011-12-26",0.901386748844
"BMV","2011-12-27",0.878274268105
"BMV","2011-12-28",0.86594761171
"BMV","2011-12-29",0.87750385208
"BMV","2011-12-30",0.852080123267
"BMV","2012-01-02",0.872110939908
"BMV","2012-01-03",0.86748844376
"BMV","2012-01-04",0.868644067797
"BMV","2012-01-05",0.885978428351
"BMV","2012-01-06",0.885208012327
"BMV","2012-01-09",0.890215716487
"BMV","2012-01-10",0.916795069337
"BMV","2012-01-11",0.931432973806
"BMV","2012-01-12",0.928351309707
"BMV","2012-01-13",0.901001540832
"BMV","2012-01-16",0.895993836672
"BMV","2012-01-17",0.897534668721
"BMV","2012-01-18",0.915254237288
"BMV","2012-01-19",0.887134052388
"BMV","2012-01-20",0.890986132512
"BMV","2012-01-23",0.901001540832
"BMV","2012-01-24",0.923728813559
"BMV","2012-01-25",0.92218798151
